id,name,price,created,description,quantity_sold
1,Oil - Canola,true,2022-02-25 08:15:33,"Salter-Harris Type III physeal fracture of lower end of right femur, subsequent encounter for fracture with delayed healing",8
2,Wine - Guy Sage Touraine,false,2022-01-08 11:52:14,"Injury of axillary nerve, unspecified arm, subsequent encounter",1
3,Foie Gras,false,2022-01-10 01:31:30,"Salter-Harris Type I physeal fracture of lower end of ulna, right arm, initial encounter for closed fracture",3
4,Cheese - Ricotta,true,2022-01-30 03:01:28,Congenital hiatus hernia,4
5,Water - Spring Water 500ml,true,2022-03-24 04:07:54,"Other streptococcal arthritis, left hand",9
6,Scallops - Live In Shell,true,2022-02-21 22:18:57,Benign neoplasm of sigmoid colon,2
7,Garlic - Elephant,false,2022-02-26 00:10:30,Insect bite (nonvenomous) of back wall of thorax,6
8,"Crush - Orange, 355ml",false,2022-03-05 14:17:06,"Salter-Harris Type I physeal fracture of lower end of ulna, unspecified arm, initial encounter for closed fracture",4
9,Cumin - Ground,true,2022-04-10 08:55:29,Other reduction defects of upper limb,10
10,"Lemonade - Kiwi, 591 Ml",true,2022-02-10 07:01:22,"Infective myositis, thigh",2
11,Brandy - Bar,true,2022-02-10 01:34:27,"Other physeal fracture of unspecified calcaneus, subsequent encounter for fracture with routine healing",5
12,Oregano - Fresh,true,2022-03-12 14:06:42,Encounter for breast reconstruction following mastectomy,10
13,"Lid - Translucent, 3.5 And 6 Oz",false,2022-03-07 00:42:22,Other injury of bronchus,9
14,V8 Splash Strawberry Banana,true,2022-03-05 13:12:54,"Burn of third degree of unspecified multiple fingers (nail), not including thumb, initial encounter",6
15,Wine - Chablis 2003 Champs,false,2022-03-18 19:29:08,"Burn of third degree of multiple sites of left wrist and hand, sequela",5
16,Skirt - 24 Foot,true,2022-02-13 13:56:07,"Unspecified injury of other blood vessels of thorax, unspecified side, initial encounter",4
17,Squash - Butternut,true,2022-01-26 23:49:10,"Corrosion of unspecified eyelid and periocular area, initial encounter",6
18,Ecolab - Mikroklene 4/4 L,false,2022-03-22 11:51:59,Contact with recreational machinery,7
19,"Soup - Knorr, Classic Can. Chili",false,2022-01-21 14:39:44,Intermittent monocular exotropia,3
20,Vinegar - White Wine,true,2022-04-19 17:55:06,Corrosion of first degree of chest wall,6
21,Vodka - Moskovskaya,true,2022-01-16 01:46:25,"Struck by macaw, sequela",6
22,Turkey - Ground. Lean,false,2022-04-11 11:12:28,"Burn of first degree of right forearm, sequela",8
23,Muffin - Carrot Individual Wrap,true,2022-02-05 20:55:30,"Laceration of muscle, fascia and tendon of long head of biceps, right arm, sequela",9
24,Muffin Batt - Blueberry Passion,false,2022-03-26 06:35:09,"Poisoning by dental drugs, topically applied, assault, initial encounter",8
25,Pastry - Apple Muffins - Mini,false,2022-04-10 15:43:33,"Burn of first degree of left elbow, sequela",6
26,Salt - Table,false,2022-01-20 08:10:23,Unspecified occupant of heavy transport vehicle injured in collision with other motor vehicles in nontraffic accident,5
27,"Juice - Grape, White",true,2022-01-08 03:31:48,"Unspecified dislocation of left middle finger, initial encounter",1
28,Veal - Striploin,true,2022-03-18 03:14:41,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,2
29,The Pop Shoppe - Cream Soda,false,2022-04-05 15:24:35,Blister (nonthermal) of lip and oral cavity,6
30,Cheese - Ricotta,false,2022-03-23 11:20:46,"Nondisplaced fracture of coracoid process, unspecified shoulder, subsequent encounter for fracture with delayed healing",4
31,"Squash - Pattypan, Yellow",false,2022-03-25 23:38:40,"Nondisplaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with nonunion",9
32,Beer - Paulaner Hefeweisse,true,2022-02-06 16:37:56,"Corrosion of unspecified degree of unspecified upper arm, sequela",8
33,"Veal - Shank, Pieces",false,2022-02-14 17:02:19,"Injury of conjunctiva and corneal abrasion without foreign body, left eye",7
34,Rootbeer,false,2022-02-09 09:05:32,Insect bite (nonvenomous) of back wall of thorax,2
35,Lotus Root,false,2022-03-21 22:23:33,"Other specified injuries of abdomen, subsequent encounter",7
